Launch Date,Franchisee,Style Count,Gross Sales
2-Apr-17,PEGASUS NSW,118,222968
2-Apr-17,PRESTO,333,8659476
2-Apr-17,PRIMO COURT,18,156528
2-Apr-17,ROSHE,472,11872940
2-Apr-17,ROSHE LD-1000,4,0
2-Apr-17,SOCK DART,140,3376616
2-Apr-17,SON OF FORCE,54,76272
2-Apr-17,TANJUN,284,23014600
2-Apr-17,TENNIS CLASSIC,94,709972
2-Apr-17,ZOOM ALL OUT,72,1834120
1-Apr-18,AIR FORCE 1,609,15337116
1-Apr-18,AIR MAX 1,181,3393272
1-Apr-18,AIR MAX 90,343,8880768
1-Apr-18,AIR MAX COMMAND,48,513876
1-Apr-18,AIR MAX INVIGOR,88,1638972
1-Apr-18,AIR MAX MOTION,138,3782064
1-Apr-18,AIR MAX TAVAS,32,33356
1-Apr-18,AIR MAX THEA,22,967296
1-Apr-18,AIR MAX ZERO,18,82544
1-Apr-18,BLAZER,216,3125276
1-Apr-18,CORTEZ,150,5781644
1-Apr-18,COURT BOROUGH,149,4598628
1-Apr-18,COURT ROYALE,100,3589668
1-Apr-18,EPIC REACT,112,8699676
1-Apr-18,FREE RUN,307,13152053
1-Apr-18,HUARACHE,320,13696252
1-Apr-18,INTERNATIONALIST,16,1006752
1-Apr-18,JANOSKI,134,2108868
1-Apr-18,JUVENATE,6,0
1-Apr-18,KAISHI,78,73996
1-Apr-18,LUNARCHARGE,8,6484
1-Apr-18,MD RUNNER,82,3624324
1-Apr-18,PEGASUS,188,9072712
1-Apr-18,PEGASUS NSW,18,162912
1-Apr-18,PRESTO,209,5316828
1-Apr-18,PRIMO COURT,4,90584
1-Apr-18,ROSHE,70,4536648
1-Apr-18,SON OF FORCE,34,4160
1-Apr-18,TANJUN,257,28278948
1-Apr-18,TENNIS CLASSIC,6,8328
1-Apr-18,ZOOM ALL OUT,30,1579180
